AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AARON, HENRY",,Henry Aaron,,1934-2021,Mobile,Mobile,"Mobile, Mobile",,Atlanta and Milwaukee,"Atlanta, Fulton",": </strong>Baseball player; sports executive; businessman. Born:February 5, 1934, Mobile. Parents:Herbert and Estella Aaron. Education:Attended public schools. Married: (1) Barbara Lucas. Children:Five. Married: (2) Billye Williams. Children:One. Played baseball with the Milwaukee Braves. 1954-65;  with the Atlanta Braves in 1966-1974; with the Milwaukee Brewers, 1975-76.  Set the record for career home runs, 1974. Recipient of many baseball honors; Inducted into the Baseball Hall of Fame, 1982; named to National League All-Star Team every year, 1955-74.  Awarded the honorary degree of HHD, Princeton University, 2011.  Presidential Medal of Freedom, 2002.</p>
<p>",":</strong></p>
<p>Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>""Aaron, r.f."" Cleveland; World Publishing Co., 1968.</p>
<p>I had a Hammer; the Hank Aaron Story. New York; Harper/Collins, 1991.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Bad Henry. Radnor, Pa.; Chilton, 1974.</p>
<p>Hitting the Aaron Way. Englewood Cliffs, N.J.; Prentice-Hall, 1974.</p>

				</div>",,"<p><strong>Contributor:</strong></p>
<p>How to Hit and Run the Bases. New York; Grossett and Dunlap, 1971.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABERNATHY, MABRA GLENN",,Mabra Glenn Abernathy,,1921-1990,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa,"Birmingham, Jefferson; Tuscaloosa, Tuscaloosa",,,"Birmingham, Jefferson",":</strong></p>
<p>Political scientist; University professor. Born:November 25, 1921, Birmingham. Parents:James Robert and Lynia Esther (Vines) Abernathy. Married:Nancy Katherine Perry, September 6, 1949. Children:Three. Education:Birmingham Southern College, B.S., 1942; University of Alabama, M.A., 1947; University of Wisconsin, Ph.D., 1953. Served with the U.S. Army Air Force, 1942-1946; reached rank of captain.  Taught political science at the University of Alabama, 1948-1949;  at the University of South Carolina 1951-1986.  Director of the Bureau of Governmental Research at USC, 1972-86.  Member Southern Political Science Association; American Political Science Association; American Association of University Professors.  Received the Russell Award for Creative Research, University of South Carolina, 1963; awarded emeritus status, 1986.  Died June 5, 1990.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1980.</p>
<p>Contemporary Authors online, updated 2003.</p>
<p>","(s):</strong></p>
<p>Organization and Jurisdiction of the Courts of South Carolina. Columbia, S.C.; Bureau of Public Administration, University of South Carolina, 1956.</p> <p>The Right of Assembly and Association. Columbia, S.C.; University of South Carolina Press, 1961.</p><p>Civil Liberties Under the Constitution. New York; Dodd, 1968.</p><p>The Administration of Criminal Justice in the Courts of South Carolina. Columbia, S.C.; s.n., 1969.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Judicial System of South Carolina. New York; Institute of Judicial Administration, 1971.</p>

				</div>",,"<p><strong>Joint_Editor:</strong></p>
<p>The Carter Years; the President and Policy Making. New York; St. Martins, 1984.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABERNATHY, RALPH DAVID",,Ralph David Abernathy,,1926-1990,"Linden, Montgomery, Demopolis, ",Marengo and  Montgomery,"Montgomery, Montgomery",,Atlanta and Montgomery,"Atlanta, Fulton","; obituary.</p>
<p>","s;</strong></p>
<p>Dictionary of American Biography; obituary.</p>
<p>","s;</strong></p>
<p>And the Walls Came Tumbling Down. New York:  Harper and Row, 1989.</p>


				</div>",,"<p><strong>Contributor;</strong></p>
<p>Garrow, David.  The Walking City; The Montgomery Bus Boycott, 1955-56.  Carlson, 1989.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABERNETHY, CECIL EMORY",,Cecil Emory Abernethy,,1908-1991,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa,"Birmingham, Jefferson",,Tuscaloosa and Birmingham,,":</strong></p>
<p>University professor. Born:April 8, 1908, Charleston, S.C. Parents:William H. and Annie Pierce (Rast) Abernethy. Education:Birmingham Southern College, A.B., 1930; University of North Carolina, M.A., 1935; Vanderbilt University, Ph.D., 1940. Taught at West End High School in Birmingham, 1931-1935; University of Alabama, 1937-1938; Birmingham Southern College after 1939. Member of the Modern Language Association; the executive committee of the Southern Association of Colleges and Schools; Phi Beta Kappa. Died August 8, 1991.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1974.</p>
<p>","(s):</strong></p>
<p>Mr. Pepys of Seething Lane. New York; McGraw, 1957.</p>


				</div>",,"<p><strong>Assistant_Editor:</strong></p>
<p>Centennial Edition of the Works of Sidney Lanier, Vol. 5. Baltimore; Johns Hopkins Press, 1945.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABERNETHY, THOMAS PERKINS",,Thomas Perkins Abernethy,,1890-1975,"Collirene, Montgomery,Tuscaloosa","Lowdes, Montgomery, and Tuscaloosa","Cambridge, Middlesex",,"Montgomery, Montgomery; Birmingham, Jefferson","Charlottesville, Albermarle",":</strong></p>
<p>Historian; University professor. Born:August 25, 1890, Collirene (Lowndes County).  Parents:Thomas Hines and Anne (Rast) Abernethy. Married:Ida Erckman Robertson, December 6, 1917. Education:College of Charleston, A.B., 1912; Harvard University, M.A., 1915, Ph.D., 1922.  Military service, U.S. Army, World War I. Taught at Marion Institute, 1912-1914 and 1919; Women's College of Alabama, 1916-1917; Vanderbilt University, 1921; University of Chattanooga, 1922-1928; University of Alabama, 1928-1930; University of Virginia, Richmond Alumni Professor of History, 1930-1961; University of Texas, 1961-1962; University of Arizona, 1963-1964.  Contributed to many professional journals and anthologies. Member American Historical Society; founder and president, Southern Historical Society; member Virginia Historical Society. Honors; Litt. D., Washington and Lee University, 1947; Phi Beta Kappa Award for best historical work, 1961, for <em>The South in the New Nation. </em> Honored by a festschrift entitled <em>The Old Dominion; Essays for Thomas Perkins Abernethy</em>, edited by Darrett B. Rutman.  Died Charlottesville, Virginia, November 12, 1975.</p>
<p>",":</strong></p>
<p>American Authors and Books; the Dictionary of Alabama Biography; and Contemporary Authors Online.</p>
<p>","(s):</strong></p>
<p>The Formative Period in Alabama, 1815-1928. Montgomery, Ala.; Brown Printing Co., 1922.</p><p>From Frontier to Plantation in Tennessee; a Study in Frontier Democracy. Chapel Hill, N.C.; University of North Carolina Press, 1932.</p><p>Notes and Suggestions, Commercial Activities of Silas Deane in France. S.l.; s.n., 1934.</p><p>Western Lands and the American Revolution. Charlottesville, Va.; University of Virginia, Institute for Research in the Social Sciences, 1937.</p><p>Historical Sketches of the University of Virginia. New York; Appleton Century, 1937.</p><p>Three Virginia Frontiers. Baton Rouge, La.; Louisiana State University Press, 1940.</p><p>The Burr Conspiracy. New York; Oxford University Press, 1954.</p><p>The South in the New Nation, 1789-1819. Baton Rouge, La.; Louisiana State University Press, 1961.</p><p>The Antecedents of the Abernethy Family in Scotland, Virginia, Old Alabama. Charlottesville, Va.; s.n., 1966.</p><p>Southern Frontiers of the War of 1812.  Tuscaloosa; University of Alabama Press, 1967.</p>
<p><strong>Co-author;</strong></p>
<p>The Pursuit of Southern History.  LSU Press, 1964.</p>

				</div>",,"<p><strong>Editor;</strong></p>
<p>Jefferson, Thomas.  Notes on the State of Virginia.  New York; Harper and Row, 1964.</p>
<p><strong>Contributor;</strong></p>
<p>Bugg, James L., ed.  Jacksonian Democracy; Myth or Reality.  New York; Holt, 1962.</p>
<p>Jones, Edward T. The American Plutarch. New York; Scribner, 1964.</p>
<p>Wyman, Walker D. and Kroeber, Clifton B., eds., The Frontier in Perspective.  Madison:  University of Wisconsin Press, 1957.</p>
<p><strong>Papers;</strong></p>
<p>The papers of Thomas Perkins Abernethy (including professional and personal material) are held in the Special Collections of the Alderman Library at the University of Virginia.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABERNETHY, THOMAS YOUNG",,Thomas Young Abernethy,,1908-1968,"Attalla, Birmingham, Sylacauga, Dothan, and Talladega","Etowah, Jefferson, Dale, Talladega","Birmingham, Jefferson",,"Sylacauga, Dothan, and Talladega","Birmingham, Jefferson",":</strong></p>
<p>Journalist; teacher. Born:April 19, 1908, Brookwood. Parents: Paul Lee and Addie Lee Abernethy.  Married; Louise Wallis, June 24, 1932.  Education:Birmingham Southern College. Worked as a schoolteacher and later for the Sylacauga News, Dothan Eagle, Houston Press; editor and part owner of the Talladega Home, 1936-50. Republican candidate for governor of Alabama, 1954. Delegate to Republican National Convention, 1956, 1960, 1964.  Member of Republican National Committee, 1961.  Received a Neiman Travel Grant, 1956. Died March 7, 1968.</p>
<p>",":</strong></p>
<p>Preface to Wood Smoke II.</p>
<p>","(s):</strong></p>
<p>Wood Smoke. Kingsport, Tenn.; Kingsport Press, 1967.</p>
<p>Wood Smoke II. Talladega, Ala.; Brannons, Inc., 1975.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACCARDI, JAMES ROY",,James Roy Accardi,,1949-present,"Florance, Tuscaloosa, and Huntsville","Lauderdale, Tuscaloosa, and Madison","Florance, Lauderdale; Tuscaloosa,Tuscaloosa",,Huntsville,,":</strong> Attorney; prosecutor. Born:August 31, 1949, Berea, Ohio. Parents:Roy R. and Jeanne (Burns) Accardi. Married:Marian Elizabeth Hollon, June 24, 1989.  Children: two.  Education:University of North Alabama, B.S., 1971; University of Alabama, J.D., 1974. Admitted to Alabama Bar, 1974. Employed as assistant district attorney and deputy assistant district attorney in Madison County, Ala., 1974-  until his retirement ; in private practice in Huntsville, 1980-81. Adjunct assistant professor of criminal justice at the University of Alabama in Huntsville after 1979. President of the Board of Directors, Family Services Center, Huntsville, 1991-92.  Author of numerous essays and profiles.</p>
<p>",":</strong> James R. Accardi, Huntsville, Ala.. Marquis Who's Who online.</p>
<p>","(s):</strong> The Abridged Significant Historie of the Western World. Huntsville, Ala.; A.M. Press, 1979.</p>
<p>Amber Aspects. 1988</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACTON, HUL-CEE MARCUS",,Hul-Cee Marcus Acton,,1897-1981,Birmingham,Jefferson ,"Georgetown, Scott",,Birmingham,"Birmingham, Jefferson",":</strong></p>
<p>Linguist; college professor of French. Born:April 21, 1897, Louisville, Ky. Parents:J. W. and Hattie (Gooch) Acton. Married:Virginia Franklin, July 18, 1927. Children:One. Education:Georgetown  College (Kentucky), A.B., 1917; University of Wisconsin, M.A., 1920, Ph.D., 1925; further study at the Sorbonne, Paris. Taught at Georgetown College, Kentucky, 1917-1918; University of Wisconsin, 1920-1925; Samford University, 1926-1967. Head of the language department at Samford, 1937-67.  Member of the American Association of Teachers of French, South Atlantic Modern Language Association, and Modern French Drama Association. Awarded the status of  ""Officier d'Academie avec Palmes Academiques"" by the French government in 1950, in recognition of his services in teaching the French language and culture.  Died January 17, 1981.</p>
<p>",":</strong></p>
<p>Sulzby, James F., Jr.  Toward a History of Samford University.  Samford University Press, 1986.</p>
<p>Directory of American Scholars, 6th ed.; Who's Who in Alabama, Vol. 2.</p>
<p>","(s):</strong></p>
<p>History of the Tau Theta Kappa Society of Georgetown College. Georgetown, KY:  Tau Theta Kappa, 1918.</p><p>The Soldier in Modern French Drama. Madison; University of Wisconsin, 1926.</p><p>The Pierian Club of Birmingham, with Biographies of Members and Memories of East Lake. Birmingham, Ala.; Banner Press, 1962.</p><p>Chalk, Termites, and God's Country. Birmingham, Ala.; Banner Press, 1967.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>La Nez d'un Notaire. Englewood Cliffs, N.J.; Prentice-Hall, 1929.</p>
<p><strong>Papers; </strong>Three folders of the papers of Hul-Cee Marcus Acton are held by the library at Samford University.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAMS, EMILY CAMPBELL",,Emily Campbell Adams,,1862-1936,Mobile,Mobile,,,Mobile,"Coden, Mobile",":</strong></p>
<p>Writer. Born:October 7, 1862, Mobile. Parents:Timoleo and Helen (Campbell) Adams. Lifelong resident of Mobile and a charter member of the Pen Women of Mobile; wrote prose and poetry; work appeared in the New Orleans newspapers, Colliers, Golden Age, the Chicago Advance and other periodicals and anthologies. Died August 26, 1936.</p>
<p>",":</strong></p>
<p>The Anthology of Alabama Poetry, 1928, and the Mobile Press Register, August 27, 1936.</p>
<p>","(s):</strong></p>
<p>Poems. Home, Okla.; Scroll Press, 1930.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAMS, GEORGE IRVING",,George Irving Adams,,1870-1932,Tuscaloosa,Tuscaloosa,"Emporia, Lyon",,Tuscaloosa,"Tuscaloosa, Tuscaloosa",":</strong></p>
<p>Geologist; professor of geology and mineralogy.  Born:August 17, 1870, Lena, Illinois.  Parents:   Howard Brooks and Ruth Ann (Harris) Adams.  Married:Bertha Barin, 1914. Education:Kansas State Normal School, Emporia, graduated 1889; University of Kansas, B. A., 1893, M.A.,. 1895; Princeton University, Doctor of Science, 1896; postdoctoral study in Munich, Germany, 1897-98., and at Yale, 1911.  Instructor in Natural Sciences, Kansas State Normal School, 1893-94; worked for the United States Geological Survey, 1898-1904; chief hydrologist for the national corps of mining engineers of Peru, 1904-1906; geologist for the Division of Mines of the Philippine Bureau of Science, Manila, 1908-1910.  Professor of geology at Pei Yang University,  Tientsin, China, 1912-1915; at the Peking Government University, 1915-1920; Head of the Department of Geology and Mineralogy at the University of Alabama, 1920-1932; Director of the Geological Survey of Alabama, 1927-32. Author of many studies in scientific journals. Elected fellow of the Geology Society of America, 1902; member of the American Association for the Advancement of Science; the Mineralogical Society of America, the American Association of Petroleum Geologists, and and the Geological Society of Washington. Elected to Phi Beta Kappa. Died September 8, 1932.</p>
<p>","s;</strong></p>
<p>Burchard,, Ernest F.  ""Memorial of George Irving Adams,"" Bulletin of the Geological Society of America,  Vol. XLIV (1933), 288-301.</p>
<p><em>Who Was Who in America</em>, Vol. 1.</p>
<p>","</strong></p><p>Oil and Gas Fields of the Western Interior and Northern Texas, and Coal Measures and the Upper Cretaceous and Tertiary of the Western Gulf Coast.  Washington, D.C.: GPO, 1901.</p><p>Geology and Water Resources of Patrick and Goshen Hole Quadrangles in Eastern Wyoming and Western Nebraska. Washington, D.C.: Government Printing Office, 1902.</p><p>Zinc and Lead Deposits of Northern Arkansas.  Washington, D. C.:  GPO, 1904.</p><p>An Outline Review of the Geology of Peru.  Washington, D.C.:  Smithsonian Institution, 1909.</p><p>Significance of Invertebrate and Plant Fossils, and Interpretation of Geologic Maps, a Laboratory Manual for Use in Connection with Historical Geology.  Ann Arbor, Michigan:  Edwards Brothers, 1924.</p><p>Gold Deposits of Alabama and Occurrence of Copper, Pyrite, Arsenic, and Tin.  University, Ala.:  Geological Survey of Alabama, 1930.</p><p>Common Economic Minerals and Rocks; A Laboratory Manual for Use in Connection with a Course in Physical Geology.  Ann Arbor, Michigan:  Edwards Brothers, 1924, 1931.</p>
<p>Molding Sands of Alabama, with Annotated Lists of the Foundries in Alabama and the Producers of Washed Sand and Gravel.  University, Ala.:  Geological Survey of Alabama, 1929.</p>
<p>Occurrence and Age of Certain Brown Ores in Alabama and Adjacent States.  Lancaster, Pa.: Lancaster Press, n.d.</p>
<strong><p>Joint Author;</strong></p>
<p>Geology of the Eastern Choctaw Coal Field, Indian Territory.  Washington, D.C.:  Geological Survey of Alabama, 1900.</p><p>Stratigraphy and Paleontology of the Upper Carboniferous Rocks of the Kansas Section.  Washington, D.C.:  GPO, 1903.</p></div
<p>Gypsum Deposits in the United States. Washington, D.C.:  Geological Survey of Alabama, 1904.</p><p>Economic Geology of the Iola Quadrangle. Washington, D.C.:  GPO, 1904.</p><p>Fayette Folio:  Arkansas-Missouri. Washington, D.C.:  U. S. Geological Survey, 1905.</p>
<p>Geology of Alabama.  University, Ala.:  Geological Survey of Alabama, 1926.</p><p>Barite Deposits of Alabama.  University, Ala.:  Geological Survey of Alabama, 1940.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
